dcboe_hash_id,smd_id,candidate_name,num_candidacies,first_year
3a5bf2e21faf40c5854ecc1db48776ec938f95d63f7bafc6fbb255a8,smd_5C06,Thaddeus James,1,2018
3aaee3ffbd52897110e2c58e024035ce6dd3ac7b3295d6d8a40cad74,smd_3C09,Bob Ward,1,2016
3ad4ee717951a7ee4d3621d4ac4c58746d2d17a55060bcc392bbed58,smd_5C06,Monique C. Smith,1,2014
3b8074a808f6d5b883c097f73094bb1ed6ba3ee99c5014923eea6086,smd_5C02,Thomas E. Redmond,1,2012
3b97ef9877b47f35f126c73a6db7d8fb45ee1924db4de43f05247759,smd_1A02,Teresa A. Edmondson,1,2018
3c1ada942a8c5a7542d71bb7daed2c4a65995fd90bdcdf61082872a5,smd_1B07,Juan E. Lopez,2,2012
3c3e2e0c306a22615631c41e99807ce4d401d47f869b3302c970bed7,smd_2D01,David R. Bender,4,2012
3c8fcb7fd0dcdeccc704cce27dbdd711443b401e928303fe327f2010,smd_7B06,Eric M. Rogers,1,2016
3cb60989fcc2a67d413a85d9a235d894085e4db4a8227422af4f99c2,smd_2E05,Bill Starrels,3,2012
3d09c09e8ab6b64759df34346c2193765f1c85fcff48a7e939cb842f,smd_5D06,Jason E. Burkett,1,2018
3d3e76c1f0907d9d66a1829531eac9b207b370569412b88f8d8678ef,smd_1C05,Alan Gambrell,1,2014
3d65a67146130fb779234fd343db42e40fcd55c2b3d7ef331a69c7d8,smd_8A03,L. Yvonne (L.Y.) Moore,1,2012
3d9437e8ada7c2a0ddd48e8ac6e032cc74b0d2e4d51923f88f818a54,smd_6A03,Michael Soderman,2,2016
3db1afa9349e474cd9107510382897a359dde5f1585134a3f8449fb6,smd_6D03,Ron Collins,1,2018
3dc18b44c2c3115e08ad0ea1f25c898b42361ab004036f5e77682135,smd_7E04,Norman T. Dais,1,2018
3e28b7e92e648cc7f1327ba56fb7b01c76c9d50b3ff1601274827fa1,smd_4B02,Erin Palmer,1,2018
