smd_id,Name,official_name,is_vacant,is_chairperson,oanc_hash_id
smd_2A07,Adam Friend,Adam Friend,False,False,bce8ac1a930a409e0bdcefd4b0b725666e147bd6446a1c0ba150448c
smd_2A08,Margaret McDonald,Margaret McDonald,False,False,37be6617242383e632626dee34af6159f6ee39e303242e224ea500fc
smd_2B01,Meg Roggensack Chairperson,Meg Roggensack,False,True,07606e66aad9df80132129e38f66bda9679f9d0d636d207763c1f7a9
smd_2B02,Jeff Rueckgauer,Jeff Rueckgauer,False,False,c59cd9f18a3edc0e4dcfb157b370e8d9f8393315479f8f4f2a195a28
smd_2B03,Robin Linnett Nunn,Robin Linnett Nunn,False,False,2d63a72b08074ce506470263280c7f767ce0dc0ee2e8861c79bba1a8
smd_2B04,Christopher Davis,Christopher Davis,False,False,0131ea119c82aad40511c5cda61f2a739a183219e39f97a54cec6a59
smd_2B05,William Herbig,William Herbig,False,False,80b59693e77a55b135a429fb01629d195246db3b6a2126314cd4d3c5
smd_2B06,Mike Silverstein,Mike Silverstein,False,False,6fd39c54e3102c59163a42f075e05383a54d2e6aa1969837bd83d798
smd_2B07,Michael Scott McKernan,Michael Scott McKernan,False,False,be5a8dd606e07201184994299b8a28c9ed1719297e4b3ebef650916f
smd_2B08,Vacant,Vacant,True,False,cac2f854a583f7ef5c61fb268057aae54d7748ec04839b8be169fb6d
smd_2B09,Kyle Mulhall,Kyle Mulhall,False,False,80202bb69435c9f4a062db81635b1707496d501a9bb2eb0bb90bda26
smd_2C01,Michael D. Shankle  Chairperson,Michael D. Shankle,False,True,21f2720da11759f5d51811f0a2f7036fb83d823a386cd57ca29a33c2
smd_2C02,Vacant,Vacant,True,False,afc8aef3033e201a8f01b86b9d21c58b4241b76aa14edf987850ed53
smd_2C03,Gigi Nelson,Gigi Nelson,False,False,c8b5909d7ed72b9041585e9ffea2d4853ceca36c537ecd7f7db0ce59
smd_2D01,Ashley Warren  Chairperson,Ashley Warren,False,True,1af6ae2b212daf4241d75d5db7413038a8b7ee6cbbcbe66f3f6305ce
